Ft In,Underweight (in lbs),Normal weight(in lbs),Overweight(in lbs),Obese(in lbs)
4'0'',<60,60 - 81,82 - 98,>99
4'1',<63,63 - 85 ,86 - 102 ,>103
4'2'',<65,65 - 88,89 - 106,>106
4'3'',<68,68 -92,93 - 110,>111
4'4'',<70,70- 95,96- 115 ,>115
4'5'',<73,73 - 99,100 - 119,>120
4'6'',<76,76 - 103,104- 124,>125
4'7'',<79,79 - 107,108 - 128,>129
4'8'',<82,82 - 111,112- 133,>134
4'9'',<85,85 - 115,116- 138,>139
4'10'',<88,88 - 119,120 - 143,>144
4'11'',<91,91 - 123,124 - 148,>149
5'0'',<94,94 - 128,129 - 153,>154
5'1',<97,97 - 132,133 - 158,>159
5'2'',<100,100 - 136,137 - 163,>164
5'3'',<104,104 - 140,141 - 169,>170
5'4'',<107,107 - 145,146 - 174,>175
5'5'',<110,110 - 149,150 - 179,>180
5'6'',<114,114 - 154,155 - 185,>186
5'7'',<117,117 - 159,160 - 191,>192
5'8'',<121,121 - 164,165 - 196,>197
5'9'',<124,124 -168,169 - 202,>203
5'10'',<128,128 - 173,174 - 208,>209
5'11'',<131,131 - 178,179 -  214,>215
6'0'',<136,136 - 183,184 - 220,>221
6'1',<139,139 - 189,190- 227,>228
6'2'',<143,143 - 194,195 - 233,>234
6'3'',<147,147 - 199,200 - 239,>240
6'4'',<151,151 - 204,205 - 246,>247
6'5'',<155,155 - 210,211 - 252,>253
6'6'',<159,159 - 215,216 - 259,>260
6'7'',<163,163 -221,222- 265,>266
6'8'',<167,167 - 227,228 - 272,>273
6'9'',<172,172 - 232,233 - 279,>280
6'10'',<176,176 - 238,239 - 286,>287
6'11'',<180,180 - 244,245 - 293,>294
7'0'',<185,185 - 250,251 - 300,>301
7'1',<189,189 - 256,257 - 307,>308
7'2'',<194,194 - 262,263 - 315,>316
7'3'',<198,198 - 268,269 - 322,>323
7'4'',<203,203 - 274,275 - 329,>330
7'5'',<207,207 - 280,281 - 337,>338
7'6'',<212,212 - 287,288 - 344,>345
7'7'',<217,217 - 293,294 - 352,>353
7'8'',<222,222 - 300,301 - 360,>361
7'9'',<226,226 - 306,307 - 368,>369
7'10'',<231,231 - 313,314  -376,>377
7'11'',<236,236 - 320,321 - 384,>385
